Category,precision,recall,f1-score,support
Community,41.10 ± 14.18,45.19 ± 16.44,43.02 ± 15.24,2760.00 ± 1397.50
Entertainment,6.82 ± 15.25,9.09 ± 20.33,7.79 ± 17.42,4160.00 ± 1502.66
Food,3.33 ± 7.45,10.00 ± 22.36,5.00 ± 11.18,420.00 ± 605.81
Nightlife,12.19 ± 12.64,16.17 ± 18.10,13.46 ± 14.46,1540.00 ± 1293.45
Outdoors,27.14 ± 27.03,28.56 ± 21.69,25.86 ± 20.62,700.00 ± 353.55
Shopping,36.10 ± 24.98,29.88 ± 27.35,31.66 ± 25.78,1500.00 ± 1691.15
Travel,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 148.32
None,12.50 ± 12.50,24.00 ± 25.10,16.41 ± 16.68,280.00 ± 130.38
Unknown-8,54.26 ± 5.59,54.35 ± 11.28,53.81 ± 7.24,2460.00 ± 1509.30
Unknown-9,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 178.89
Unknown-10,5.00 ± 6.85,24.00 ± 43.36,7.52 ± 10.58,200.00 ± 200.00
Unknown-11,22.57 ± 23.40,19.71 ± 21.05,20.50 ± 20.92,660.00 ± 364.69
Unknown-12,25.00 ± 25.00,34.09 ± 41.47,27.86 ± 29.40,400.00 ± 418.33
Unknown-13,10.67 ± 15.35,8.33 ± 11.79,8.89 ± 12.17,340.00 ± 194.94
Unknown-14,6.67 ± 9.43,7.33 ± 10.11,6.84 ± 9.39,640.00 ± 270.19
Unknown-15,30.45 ± 17.27,37.02 ± 21.25,33.38 ± 19.00,5160.00 ± 1137.10
Unknown-16,41.27 ± 4.52,45.68 ± 12.32,43.01 ± 7.15,3620.00 ± 947.10
Unknown-17,17.05 ± 23.58,15.00 ± 19.15,13.39 ± 15.53,275.00 ± 263.00
Unknown-18,55.71 ± 8.86,54.02 ± 5.09,54.80 ± 6.90,9800.00 ± 2142.43
Unknown-19,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-20,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-21,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 404.15
Unknown-22,59.77 ± 36.92,44.10 ± 38.28,43.08 ± 35.69,2380.00 ± 742.97
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 328.63
Unknown-25,53.05 ± 19.84,46.79 ± 15.84,49.60 ± 17.63,2820.00 ± 2558.71
Unknown-26,71.43 ± 25.42,77.86 ± 26.12,72.28 ± 21.51,500.00 ± 282.84
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 661.06
Unknown-28,18.04 ± 40.35,18.32 ± 40.96,18.18 ± 40.65,708180.00 ± 15898.80
Unknown-29,2.50 ± 5.59,20.00 ± 44.72,4.44 ± 9.94,320.00 ± 249.00
Unknown-30,28.63 ± 21.80,31.11 ± 25.72,29.04 ± 22.78,620.00 ± 327.11
Unknown-31,21.35 ± 31.47,37.50 ± 47.87,26.82 ± 37.71,300.00 ± 258.20
Unknown-32,29.31 ± 6.47,25.74 ± 5.06,27.07 ± 4.53,5420.00 ± 2291.72
Unknown-33,10.95 ± 15.58,12.67 ± 17.38,11.67 ± 16.24,400.00 ± 339.12
Unknown-34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 346.41
Unknown-35,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-36,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-37,55.77 ± 13.03,55.29 ± 8.28,55.37 ± 10.30,10660.00 ± 5767.41
Unknown-38,2.50 ± 5.59,10.00 ± 22.36,4.00 ± 8.94,140.00 ± 54.77
Unknown-39,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,120.00 ± 109.54
Unknown-40,39.96 ± 6.53,31.63 ± 8.50,34.68 ± 6.52,3680.00 ± 1331.16
Unknown-41,51.12 ± 16.13,48.42 ± 18.39,49.53 ± 17.30,9600.00 ± 3506.42
Unknown-42,55.34 ± 31.31,33.64 ± 18.89,41.79 ± 23.46,21420.00 ± 2610.94
Unknown-43,21.68 ± 5.77,18.76 ± 5.07,20.08 ± 5.36,3220.00 ± 1213.26
Unknown-44,46.99 ± 26.47,45.90 ± 26.07,46.41 ± 26.22,29920.00 ± 7232.36
Unknown-45,45.62 ± 26.24,31.03 ± 18.25,36.92 ± 21.50,18960.00 ± 1693.52
Unknown-46,22.18 ± 25.19,26.11 ± 26.47,21.01 ± 22.24,800.00 ± 1097.72
Unknown-47,58.38 ± 7.46,59.55 ± 10.90,58.73 ± 8.52,7380.00 ± 1706.46
Unknown-48,38.79 ± 9.51,40.20 ± 9.31,39.20 ± 8.91,9880.00 ± 2928.65
Unknown-49,62.51 ± 4.01,63.25 ± 3.26,62.86 ± 3.46,14200.00 ± 2100.00
Unknown-50,33.83 ± 33.30,32.00 ± 29.50,32.62 ± 30.83,1120.00 ± 901.11
Unknown-51,45.27 ± 20.15,51.02 ± 15.98,47.72 ± 18.51,1080.00 ± 432.43
Unknown-52,12.86 ± 21.67,30.00 ± 44.72,15.00 ± 22.36,120.00 ± 130.38
Unknown-53,34.88 ± 7.39,32.90 ± 9.97,33.73 ± 8.72,3160.00 ± 973.65
Unknown-54,74.88 ± 1.96,79.73 ± 2.73,77.22 ± 2.13,58180.00 ± 5199.23
Unknown-55,27.74 ± 25.78,27.88 ± 25.53,27.62 ± 25.30,4340.00 ± 829.46
Unknown-56,39.68 ± 22.64,43.33 ± 36.51,39.36 ± 24.87,660.00 ± 826.44
Unknown-57,26.47 ± 12.93,31.25 ± 14.11,28.45 ± 13.01,3720.00 ± 1249.80
Unknown-58,55.84 ± 11.46,59.40 ± 12.17,57.55 ± 11.76,9620.00 ± 5100.20
