Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 320.94
Entertainment,8.97 ± 14.50,8.19 ± 12.87,8.56 ± 13.63,2420.00 ± 752.99
Food,52.21 ± 10.12,32.72 ± 4.47,39.80 ± 4.27,3360.00 ± 472.23
Nightlife,35.27 ± 11.87,32.21 ± 7.80,32.96 ± 8.81,1780.00 ± 892.75
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 357.77
Shopping,15.71 ± 22.81,10.71 ± 14.73,12.38 ± 17.04,520.00 ± 540.37
Travel,32.26 ± 18.79,34.58 ± 16.04,33.24 ± 17.48,4000.00 ± 3121.70
None,45.53 ± 16.34,54.14 ± 12.20,48.98 ± 14.08,1160.00 ± 167.33
Unknown-8,61.84 ± 9.97,63.81 ± 7.33,62.31 ± 6.68,1980.00 ± 912.14
Unknown-9,33.63 ± 12.42,30.22 ± 13.16,31.23 ± 12.66,2280.00 ± 870.06
Unknown-10,32.74 ± 20.87,37.29 ± 22.58,34.71 ± 21.70,1900.00 ± 2581.67
Unknown-11,41.37 ± 9.94,45.77 ± 10.71,42.85 ± 8.79,5240.00 ± 1479.19
Unknown-12,3.76 ± 5.29,3.78 ± 5.43,3.77 ± 5.35,1160.00 ± 527.26
Unknown-13,40.51 ± 11.33,41.91 ± 12.75,40.95 ± 11.64,4720.00 ± 1888.65
Unknown-14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 303.32
Unknown-17,42.69 ± 14.49,46.40 ± 13.35,44.17 ± 13.63,4700.00 ± 3168.60
Unknown-18,29.05 ± 11.45,28.23 ± 14.51,28.03 ± 12.66,2480.00 ± 1138.86
Unknown-20,35.54 ± 7.98,33.54 ± 12.17,34.11 ± 9.91,5840.00 ± 2621.64
Unknown-21,50.00 ± 50.00,50.00 ± 50.00,44.44 ± 38.49,133.33 ± 57.74
Unknown-23,11.11 ± 19.25,22.22 ± 38.49,14.81 ± 25.66,200.00 ± 100.00
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 70.71
Unknown-26,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 268.33
Unknown-27,13.65 ± 12.57,16.67 ± 12.42,13.33 ± 9.72,640.00 ± 260.77
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 249.00
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 249.00
Unknown-31,33.81 ± 7.68,32.31 ± 10.61,31.66 ± 7.36,3580.00 ± 762.89
Unknown-32,38.04 ± 34.17,41.37 ± 32.43,39.29 ± 33.38,400.00 ± 216.02
Unknown-33,50.79 ± 24.97,53.56 ± 23.32,51.57 ± 24.11,3660.00 ± 4869.60
Unknown-34,28.35 ± 20.12,28.20 ± 17.33,28.00 ± 18.41,1160.00 ± 606.63
Unknown-35,58.00 ± 26.62,45.71 ± 15.19,47.49 ± 11.87,440.00 ± 207.36
Unknown-36,30.08 ± 21.28,31.73 ± 21.91,30.87 ± 21.56,1540.00 ± 654.22
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 89.44
Unknown-39,3.33 ± 7.45,3.33 ± 7.45,3.33 ± 7.45,520.00 ± 294.96
Unknown-40,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-41,20.97 ± 18.05,20.92 ± 17.23,20.84 ± 17.42,2060.00 ± 873.50
Unknown-43,30.44 ± 16.99,44.12 ± 21.33,34.13 ± 17.06,1500.00 ± 543.14
Unknown-44,9.16 ± 10.77,7.97 ± 9.00,8.38 ± 9.69,1280.00 ± 460.43
Unknown-45,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-46,38.00 ± 10.66,38.29 ± 13.80,38.01 ± 11.90,5440.00 ± 779.74
Unknown-47,16.06 ± 28.90,17.95 ± 29.01,16.76 ± 28.87,540.00 ± 461.52
Unknown-48,32.95 ± 40.99,43.33 ± 39.70,34.00 ± 34.35,220.00 ± 204.94
Unknown-49,39.80 ± 18.63,39.31 ± 13.15,38.96 ± 14.30,1140.00 ± 614.82
Unknown-50,26.28 ± 7.14,24.86 ± 14.27,24.81 ± 9.19,780.00 ± 496.99
Unknown-51,9.54 ± 6.80,21.69 ± 20.51,12.42 ± 8.71,1340.00 ± 618.87
Unknown-52,1.18 ± 2.63,1.54 ± 3.44,1.33 ± 2.98,320.00 ± 554.08
Unknown-53,25.56 ± 15.16,21.19 ± 10.35,22.25 ± 10.17,1140.00 ± 296.65
Unknown-54,15.00 ± 22.36,30.00 ± 44.72,18.00 ± 24.90,140.00 ± 114.02
Unknown-55,24.47 ± 18.51,17.50 ± 14.48,19.98 ± 16.25,2220.00 ± 554.08
Unknown-56,11.74 ± 8.59,25.97 ± 13.88,16.06 ± 10.79,1080.00 ± 370.14
Unknown-57,23.27 ± 14.98,22.52 ± 15.52,22.75 ± 15.02,2680.00 ± 668.58
Unknown-58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 287.23
Unknown-60,22.04 ± 17.30,23.62 ± 19.84,22.70 ± 18.37,1840.00 ± 1324.01
Unknown-61,25.30 ± 19.98,28.00 ± 19.80,22.43 ± 13.62,480.00 ± 164.32
Unknown-62,5.14 ± 7.74,9.00 ± 12.45,6.22 ± 8.79,1060.00 ± 585.66
Unknown-63,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-64,10.91 ± 24.39,15.00 ± 33.54,12.63 ± 28.25,640.00 ± 602.49
Unknown-65,21.09 ± 16.54,28.89 ± 19.70,23.02 ± 15.91,860.00 ± 456.07
Unknown-67,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,580.00 ± 511.86
Unknown-68,6.25 ± 12.50,2.27 ± 4.55,3.33 ± 6.67,425.00 ± 499.17
Unknown-69,28.06 ± 19.98,31.21 ± 20.78,28.10 ± 17.74,1840.00 ± 1339.03
Unknown-70,32.03 ± 10.59,27.76 ± 5.80,29.51 ± 7.27,2300.00 ± 628.49
Unknown-72,7.04 ± 13.24,6.94 ± 12.65,6.98 ± 12.94,1640.00 ± 832.47
Unknown-74,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 178.89
Unknown-75,5.00 ± 11.18,4.67 ± 10.43,4.83 ± 10.79,1080.00 ± 1112.21
Unknown-76,33.99 ± 17.19,34.17 ± 12.87,33.21 ± 13.55,725.00 ± 531.51
Unknown-77,4.86 ± 6.82,33.33 ± 47.14,8.34 ± 11.58,640.00 ± 622.90
Unknown-78,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 83.67
Unknown-79,33.80 ± 8.83,33.50 ± 9.66,33.44 ± 8.98,3800.00 ± 2140.09
Unknown-80,54.77 ± 14.85,58.99 ± 16.26,56.57 ± 15.24,2820.00 ± 1314.15
Unknown-81,48.07 ± 12.87,53.14 ± 7.12,50.03 ± 9.42,1460.00 ± 594.14
Unknown-82,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 296.65
Unknown-84,14.69 ± 14.48,15.48 ± 15.01,14.99 ± 14.62,1280.00 ± 917.61
Unknown-85,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,140.00 ± 114.02
Unknown-86,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 54.77
Unknown-87,38.67 ± 42.53,33.00 ± 32.71,32.76 ± 31.40,340.00 ± 194.94
Unknown-89,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,720.00 ± 739.59
Unknown-90,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-91,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 304.96
Unknown-92,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-93,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 115.47
Unknown-94,8.33 ± 16.67,12.50 ± 25.00,10.00 ± 20.00,250.00 ± 208.17
Unknown-95,16.26 ± 17.82,24.70 ± 24.79,19.40 ± 20.52,1260.00 ± 1110.41
Unknown-96,34.23 ± 19.39,34.00 ± 26.50,32.66 ± 21.23,640.00 ± 207.36
Unknown-97,3.00 ± 6.71,3.16 ± 7.06,3.08 ± 6.88,960.00 ± 594.14
Unknown-98,21.30 ± 18.23,23.96 ± 20.00,22.51 ± 19.04,600.00 ± 360.56
Unknown-99,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,425.00 ± 718.22
Unknown-100,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 164.32
Unknown-101,51.67 ± 30.28,46.67 ± 36.82,47.33 ± 30.59,300.00 ± 212.13
Unknown-102,5.00 ± 11.18,2.50 ± 5.59,3.33 ± 7.45,320.00 ± 277.49
Unknown-104,37.50 ± 47.87,37.50 ± 47.87,37.50 ± 47.87,225.00 ± 125.83
Unknown-105,40.00 ± 8.83,44.80 ± 20.64,41.33 ± 13.27,1660.00 ± 879.20
Unknown-106,16.03 ± 16.32,21.63 ± 19.83,17.85 ± 16.96,780.00 ± 580.52
Unknown-107,11.11 ± 13.61,11.39 ± 13.62,11.24 ± 13.61,740.00 ± 304.96
Unknown-109,21.40 ± 27.88,21.39 ± 25.57,20.96 ± 25.93,940.00 ± 890.51
Unknown-110,40.00 ± 54.77,16.67 ± 23.57,23.33 ± 32.49,300.00 ± 353.55
Unknown-111,10.54 ± 10.40,8.22 ± 11.80,8.64 ± 10.54,1440.00 ± 219.09
Unknown-112,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-113,25.00 ± 43.30,15.00 ± 22.36,18.33 ± 29.11,240.00 ± 114.02
Unknown-115,21.33 ± 22.92,23.33 ± 27.26,20.67 ± 21.65,320.00 ± 130.38
Unknown-116,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 346.41
Unknown-117,42.67 ± 36.09,36.33 ± 25.34,33.78 ± 19.01,440.00 ± 336.15
Unknown-118,46.67 ± 44.72,53.33 ± 50.55,49.33 ± 46.57,200.00 ± 100.00
Unknown-119,23.33 ± 32.49,16.19 ± 28.89,16.13 ± 25.09,500.00 ± 533.85
Unknown-120,7.34 ± 6.98,12.53 ± 13.97,9.08 ± 9.01,960.00 ± 433.59
Unknown-123,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-127,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,3040.00 ± 2435.78
Unknown-128,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 178.89
Unknown-129,8.72 ± 8.65,31.67 ± 40.99,12.08 ± 11.12,320.00 ± 192.35
Unknown-130,23.25 ± 17.43,37.87 ± 16.53,26.17 ± 13.38,780.00 ± 370.14
Unknown-131,27.36 ± 11.57,36.09 ± 30.02,30.08 ± 17.64,860.00 ± 260.77
Unknown-132,43.17 ± 34.82,35.00 ± 19.00,35.40 ± 18.09,380.00 ± 130.38
Unknown-133,46.48 ± 11.65,61.07 ± 24.48,51.38 ± 14.72,1300.00 ± 600.00
Unknown-134,43.49 ± 18.01,44.44 ± 13.92,40.53 ± 8.69,1060.00 ± 789.30
Unknown-136,7.25 ± 12.37,6.82 ± 10.90,7.00 ± 11.57,1780.00 ± 852.64
Unknown-137,2.86 ± 6.39,10.00 ± 22.36,4.44 ± 9.94,120.00 ± 44.72
Unknown-138,2.59 ± 3.65,21.54 ± 43.99,4.11 ± 6.30,480.00 ± 521.54
Unknown-140,23.25 ± 13.70,26.57 ± 17.00,24.11 ± 14.03,780.00 ± 779.10
Unknown-141,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 115.47
Unknown-142,4.00 ± 8.94,6.67 ± 14.91,5.00 ± 11.18,180.00 ± 83.67
Unknown-143,4.29 ± 9.58,8.57 ± 19.17,5.71 ± 12.78,320.00 ± 349.28
Unknown-144,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-145,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-146,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 130.38
Unknown-147,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 415.93
Unknown-148,41.49 ± 12.45,41.91 ± 17.18,41.61 ± 14.69,3100.00 ± 1494.99
Unknown-149,28.93 ± 16.51,31.67 ± 17.08,29.52 ± 15.78,1040.00 ± 384.71
Unknown-151,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 122.47
Unknown-152,16.21 ± 15.32,11.77 ± 11.55,13.58 ± 13.09,2740.00 ± 947.63
Unknown-153,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 258.84
Unknown-154,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-155,27.56 ± 22.41,49.70 ± 33.18,34.29 ± 25.43,980.00 ± 739.59
Unknown-156,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 321.46
Unknown-157,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 356.37
Unknown-158,19.31 ± 16.31,19.75 ± 17.04,18.89 ± 15.80,1280.00 ± 1003.49
Unknown-160,20.32 ± 14.17,17.47 ± 13.39,18.33 ± 13.07,1560.00 ± 776.53
Unknown-161,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 207.36
Unknown-162,6.67 ± 10.87,28.00 ± 43.82,9.23 ± 13.76,200.00 ± 173.21
Unknown-163,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 158.11
Unknown-164,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 130.38
Unknown-166,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 164.32
Unknown-167,12.50 ± 15.96,11.46 ± 15.73,11.90 ± 15.79,300.00 ± 355.90
Unknown-169,4.52 ± 6.54,26.67 ± 43.46,7.67 ± 11.28,280.00 ± 130.38
Unknown-170,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 244.95
Unknown-171,25.42 ± 10.61,45.18 ± 17.75,31.89 ± 12.53,580.00 ± 443.85
Unknown-172,5.71 ± 12.78,8.00 ± 17.89,6.67 ± 14.91,560.00 ± 350.71
Unknown-174,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 504.98
Unknown-175,5.00 ± 11.18,2.86 ± 6.39,3.64 ± 8.13,540.00 ± 482.70
Unknown-176,21.00 ± 14.32,28.44 ± 21.50,23.78 ± 16.92,420.00 ± 294.96
Unknown-177,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 151.66
Unknown-178,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-179,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 151.66
Unknown-180,36.94 ± 9.16,48.00 ± 14.45,40.03 ± 5.83,480.00 ± 109.54
Unknown-181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,500.00 ± 463.68
Unknown-183,6.67 ± 14.91,4.00 ± 8.94,5.00 ± 11.18,240.00 ± 167.33
Unknown-184,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 608.28
Unknown-186,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 424.26
Unknown-191,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 194.94
Unknown-192,27.78 ± 25.46,50.00 ± 50.00,33.33 ± 28.87,100.00 ± 100.00
Unknown-193,6.67 ± 14.91,8.00 ± 17.89,7.27 ± 16.26,400.00 ± 264.58
Unknown-197,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 376.83
Unknown-198,36.72 ± 25.60,34.16 ± 27.84,35.06 ± 26.86,2060.00 ± 1872.97
Unknown-199,2.50 ± 5.59,5.00 ± 11.18,3.33 ± 7.45,340.00 ± 288.10
Unknown-202,18.57 ± 18.45,27.50 ± 25.62,21.33 ± 19.66,260.00 ± 313.05
Unknown-205,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-206,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 130.38
Unknown-209,38.34 ± 17.51,33.34 ± 13.62,35.47 ± 14.89,2140.00 ± 884.87
Unknown-210,20.00 ± 44.72,6.67 ± 14.91,10.00 ± 22.36,140.00 ± 114.02
Unknown-212,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,80.00 ± 44.72
Unknown-213,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 164.32
Unknown-214,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 134.16
Unknown-216,2.22 ± 4.97,10.00 ± 22.36,3.64 ± 8.13,120.00 ± 83.67
Unknown-218,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 349.28
Unknown-219,20.57 ± 15.04,21.96 ± 13.87,20.54 ± 13.63,1180.00 ± 414.73
Unknown-220,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-221,19.17 ± 28.20,15.39 ± 21.20,16.86 ± 23.74,780.00 ± 645.76
Unknown-222,48.58 ± 27.73,56.90 ± 29.12,51.49 ± 26.71,980.00 ± 563.03
Unknown-223,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 141.42
Unknown-224,10.15 ± 10.84,8.87 ± 9.27,8.61 ± 8.61,560.00 ± 472.23
Unknown-226,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-228,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-229,12.22 ± 21.66,12.22 ± 21.66,12.22 ± 21.66,480.00 ± 327.11
Unknown-230,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 150.00
Unknown-231,61.54 ± 10.17,64.95 ± 13.67,62.70 ± 10.48,3020.00 ± 831.87
Unknown-232,41.78 ± 27.68,49.47 ± 31.30,44.47 ± 27.43,1720.00 ± 2272.00
Unknown-233,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-234,35.90 ± 24.82,38.32 ± 33.69,36.24 ± 27.25,1160.00 ± 971.08
Unknown-236,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 151.66
Unknown-237,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-238,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-240,15.85 ± 13.65,10.38 ± 8.04,11.18 ± 7.54,1325.00 ± 457.35
Unknown-241,41.05 ± 34.26,40.67 ± 13.62,38.29 ± 19.16,520.00 ± 327.11
Unknown-242,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-244,0.00,0.00,0.00,100.00
Unknown-245,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,333.33 ± 305.51
Unknown-247,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-248,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 258.84
Unknown-249,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-250,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 378.59
Unknown-251,8.00 ± 17.89,10.00 ± 22.36,8.89 ± 19.88,800.00 ± 1197.91
Unknown-253,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-254,50.00 ± 40.82,37.50 ± 43.30,35.00 ± 27.42,250.00 ± 173.21
Unknown-259,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-260,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-262,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 370.14
Unknown-263,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,433.33 ± 305.51
Unknown-264,32.40 ± 17.30,37.43 ± 20.31,32.08 ± 15.15,820.00 ± 454.97
Unknown-267,57.13 ± 19.18,69.67 ± 22.40,60.52 ± 13.88,1180.00 ± 960.21
Unknown-270,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-271,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 114.02
Unknown-274,5.00 ± 10.00,6.25 ± 12.50,5.56 ± 11.11,150.00 ± 173.21
Unknown-275,10.00 ± 22.36,6.67 ± 14.91,8.00 ± 17.89,420.00 ± 389.87
Unknown-276,10.00 ± 22.36,6.67 ± 14.91,8.00 ± 17.89,240.00 ± 54.77
Unknown-277,51.46 ± 29.46,56.67 ± 27.89,52.90 ± 28.32,380.00 ± 216.79
Unknown-278,8.33 ± 14.43,6.67 ± 11.55,7.41 ± 12.83,300.00 ± 264.58
Unknown-279,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-280,15.50 ± 21.24,25.00 ± 35.36,18.89 ± 25.94,300.00 ± 308.22
Unknown-282,8.33 ± 16.67,6.25 ± 12.50,7.14 ± 14.29,375.00 ± 170.78
Unknown-283,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-284,0.00,0.00,0.00,300.00
Unknown-285,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,700.00 ± 424.26
Unknown-288,23.33 ± 43.46,14.00 ± 21.91,16.97 ± 28.88,340.00 ± 251.00
Unknown-290,0.80 ± 1.79,6.67 ± 14.91,1.43 ± 3.19,360.00 ± 194.94
Unknown-292,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,340.00 ± 288.10
Unknown-293,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 216.79
Unknown-295,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,140.00 ± 134.16
Unknown-296,50.56 ± 17.64,43.83 ± 12.47,46.65 ± 13.75,720.00 ± 277.49
Unknown-299,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 216.79
Unknown-300,2.86 ± 6.39,5.00 ± 11.18,3.64 ± 8.13,440.00 ± 230.22
Unknown-302,10.83 ± 7.71,11.46 ± 6.82,10.93 ± 7.17,1300.00 ± 406.20
Unknown-304,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 282.84
Unknown-305,26.56 ± 15.58,32.51 ± 18.60,29.03 ± 16.61,2240.00 ± 1446.72
Unknown-306,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-307,37.50 ± 47.87,37.50 ± 47.87,37.50 ± 47.87,100.00 ± 81.65
Unknown-308,23.30 ± 35.52,28.75 ± 36.14,25.00 ± 35.36,275.00 ± 206.16
Unknown-309,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-311,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,260.00 ± 194.94
Unknown-312,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 189.30
Unknown-313,43.88 ± 20.40,52.10 ± 23.84,46.51 ± 19.25,900.00 ± 868.91
Unknown-314,6.67 ± 14.91,10.00 ± 22.36,8.00 ± 17.89,380.00 ± 432.43
Unknown-315,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 336.15
Unknown-318,31.25 ± 47.32,30.00 ± 47.61,30.56 ± 47.47,200.00 ± 216.02
Unknown-320,42.96 ± 13.19,41.33 ± 14.45,40.44 ± 9.07,920.00 ± 370.14
Unknown-321,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 321.46
Unknown-323,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00,100.00 ± 0.00
Unknown-324,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-326,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 109.54
Unknown-327,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,460.00 ± 328.63
Unknown-330,10.00 ± 22.36,5.00 ± 11.18,6.67 ± 14.91,320.00 ± 192.35
Unknown-331,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,325.00 ± 287.23
Unknown-332,3.33 ± 7.45,6.67 ± 14.91,4.44 ± 9.94,260.00 ± 151.66
Unknown-333,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,466.67 ± 723.42
Unknown-334,24.00 ± 27.73,19.71 ± 21.05,18.71 ± 17.96,480.00 ± 370.14
Unknown-338,34.00 ± 42.19,38.00 ± 41.47,34.60 ± 41.25,240.00 ± 151.66
Unknown-339,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-341,33.33 ± 42.49,30.71 ± 32.50,29.42 ± 35.24,340.00 ± 219.09
Unknown-345,40.53 ± 42.01,33.79 ± 31.81,35.27 ± 32.74,740.00 ± 1213.67
Unknown-346,20.67 ± 15.31,28.12 ± 18.03,21.67 ± 13.12,800.00 ± 524.40
Unknown-348,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-349,8.33 ± 16.67,6.25 ± 12.50,7.14 ± 14.29,375.00 ± 206.16
Unknown-350,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-351,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 115.47
Unknown-352,35.16 ± 10.10,36.32 ± 11.28,35.60 ± 10.33,2840.00 ± 1627.27
Unknown-354,24.67 ± 28.64,26.67 ± 25.28,23.70 ± 24.51,340.00 ± 167.33
Unknown-356,11.67 ± 21.73,14.00 ± 21.91,12.35 ± 21.65,220.00 ± 164.32
Unknown-357,9.71 ± 13.64,15.00 ± 22.36,11.72 ± 16.81,420.00 ± 249.00
Unknown-358,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 238.05
Unknown-359,4.00 ± 8.94,20.00 ± 44.72,6.67 ± 14.91,180.00 ± 164.32
Unknown-362,37.83 ± 24.80,46.36 ± 35.85,40.01 ± 25.77,700.00 ± 430.12
Unknown-363,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1100.00 ± 1630.95
Unknown-364,26.67 ± 43.46,20.00 ± 27.39,21.33 ± 30.70,360.00 ± 167.33
Unknown-365,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 100.00
Unknown-368,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-369,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 173.21
